Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis_link,"2,00400219798492E-05","0,00861466630514775","0,0297503909676468",0,0,0,"0,050897326511942","1,18631297516947E-05","1,01316615516931E-12","1,87216766384043E-11","3,23496464190773E-05","-3,41919898294227E-08","2,35953901464824E-05",0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/chassis_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/chassis_link.STL,,Chassis-1;trunk-1;trunk_right-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,"-0,004",0,"6,93889390390723E-18",0,0,0,"0,000871949041003847","1,37827854723521E-08","6,37294765985734E-25","-1,29818291435009E-24","1,25696020696526E-08","-8,71593102863735E-25","1,25696020696526E-08",0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/wheel_left_link.STL,"0,501960784313725",1,"0,501960784313725",1,0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/wheel_left_link.STL,,wheel-4,left_wheel_coord_syst,left_wheel_axis,wheel_left_joint,continuous,"-0,02264","-0,04734","0,0161","1,5708",0,"3,1416",chassis_link,-1,0,0,,,,,,,"0,1","0,1",,,,
wheel_right_link,"-0,004",0,"6,93889390390723E-18",0,0,0,"0,000871949041003847","1,37827854723521E-08","6,34188460587282E-25","2,17945150141062E-24","1,25696020696526E-08","-1,92698818814391E-25","1,25696020696526E-08",0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/wheel_right_link.STL,"0,501960784313725",1,"0,501960784313725",1,0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/wheel_right_link.STL,,wheel_right-1,right_wheel_coord_syst,right_wheel_axis,wheel_right_joint,continuous,"0,02264","-0,04734","0,0161","1,5708",0,0,chassis_link,1,0,0,,,,,,,"0,1","0,1",,,,
rear_ball_link,"-3,46944695195361E-18",0,"1,36754862558619E-20",0,0,0,"0,000796328287838063","1,05314416066584E-08","-6,53989671799738E-25","2,97268032636244E-25","1,05314416066584E-08","-7,13443278326986E-25","1,05314416066584E-08",0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/rear_ball_link.STL,"0,501960784313725",1,"0,501960784313725",1,0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/rear_ball_link.STL,,ball-1,rear_ball_coord_syst,Axis_rear_ball_joint,rear_ball_joint,continuous,0,"-0,020375","0,0161","1,5708",0,"1,5708",chassis_link,1,0,0,,,,,,,"0,1","0,001",,,,
UV_LED_link,"3,46944695195361E-18","-0,00690931401107745","-3,94441639664403E-17",0,0,0,"0,000921159423581979","1,91516146593555E-08","3,61093386236029E-24","-2,19573739196757E-23","1,36865823647148E-08","-8,23664910489454E-25","1,91353144331538E-08",0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/UV_LED_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/UV_LED_link.STL,,UV_light-1,UV_LED_coord_syst,,UV_LED_joint,fixed,0,"-0,0070524","0,01","1,5708",0,"-1,5708",chassis_link,0,0,0,,,,,,,,,,,,
sensor_camera_link,"6,93889390390723E-18","-0,00970792931110637","-2,85751599467402E-18",0,0,0,"0,0016781910776209","1,80049014595887E-07","3,22214223607336E-24","-2,43555784093E-23","1,73761918571168E-07","-1,50290630864238E-23","3,00490145958875E-08",0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/sensor_camera_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://full_assembly_robot_unit.SLDASM/meshes/sensor_camera_link.STL,,Camera-1,sensor_camera_coord_syst,Axis_sensor_camera_joint,sensor_camera_joint,fixed,0,"-0,0561434891433514","0,00999999999999986","1,5707963267949",0,"1,5707963267949",chassis_link,0,0,0,,,,,,,,,,,,
